,algo,cv fold,metric,value
160,SVM/Linear SVC,0,test_accuracy,
161,SVM/Linear SVC,1,test_accuracy,
162,SVM/Linear SVC,2,test_accuracy,
163,SVM/Linear SVC,3,test_accuracy,
164,SVM/Linear SVC,4,test_accuracy,
165,SVM/Linear SVC,0,test_f1,
166,SVM/Linear SVC,1,test_f1,
167,SVM/Linear SVC,2,test_f1,
168,SVM/Linear SVC,3,test_f1,
169,SVM/Linear SVC,4,test_f1,
170,SVM/Linear SVC,0,test_roc_auc,
171,SVM/Linear SVC,1,test_roc_auc,
172,SVM/Linear SVC,2,test_roc_auc,
173,SVM/Linear SVC,3,test_roc_auc,
174,SVM/Linear SVC,4,test_roc_auc,
