,subject,session,task,check,path,confounds_path,path,confounds_path
193,9005,1,sleepiness,TRUE,sub-9005/ses-1/func/sub-9005_ses-1_task-sleepiness,sub-9005/ses-1/func/sub-9005_ses-1_task-sleepiness,sub-9005/ses-1/func/sub-9005_ses-1_task-sleepiness,sub-9005/ses-1/func/sub-9005_ses-1_task-sleepiness
189,9005,2,arrows,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-arrows,sub-9005/ses-2/func/sub-9005_ses-2_task-arrows,sub-9005/ses-2/func/sub-9005_ses-2_task-arrows,sub-9005/ses-2/func/sub-9005_ses-2_task-arrows
185,9005,2,faces,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-faces,sub-9005/ses-2/func/sub-9005_ses-2_task-faces,sub-9005/ses-2/func/sub-9005_ses-2_task-faces,sub-9005/ses-2/func/sub-9005_ses-2_task-faces
187,9005,2,hands,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-hands,sub-9005/ses-2/func/sub-9005_ses-2_task-hands,sub-9005/ses-2/func/sub-9005_ses-2_task-hands,sub-9005/ses-2/func/sub-9005_ses-2_task-hands
188,9005,2,rest,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-rest,sub-9005/ses-2/func/sub-9005_ses-2_task-rest,sub-9005/ses-2/func/sub-9005_ses-2_task-rest,sub-9005/ses-2/func/sub-9005_ses-2_task-rest
186,9005,2,sleepiness,TRUE,sub-9005/ses-2/func/sub-9005_ses-2_task-sleepiness,sub-9005/ses-2/func/sub-9005_ses-2_task-sleepiness,sub-9005/ses-2/func/sub-9005_ses-2_task-sleepiness,sub-9005/ses-2/func/sub-9005_ses-2_task-sleepiness
400,9007,1,arrows,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-arrows,sub-9007/ses-1/func/sub-9007_ses-1_task-arrows,sub-9007/ses-1/func/sub-9007_ses-1_task-arrows,sub-9007/ses-1/func/sub-9007_ses-1_task-arrows
401,9007,1,faces,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-faces,sub-9007/ses-1/func/sub-9007_ses-1_task-faces,sub-9007/ses-1/func/sub-9007_ses-1_task-faces,sub-9007/ses-1/func/sub-9007_ses-1_task-faces
398,9007,1,hands,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-hands,sub-9007/ses-1/func/sub-9007_ses-1_task-hands,sub-9007/ses-1/func/sub-9007_ses-1_task-hands,sub-9007/ses-1/func/sub-9007_ses-1_task-hands
399,9007,1,rest,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-rest,sub-9007/ses-1/func/sub-9007_ses-1_task-rest,sub-9007/ses-1/func/sub-9007_ses-1_task-rest,sub-9007/ses-1/func/sub-9007_ses-1_task-rest
397,9007,1,sleepiness,TRUE,sub-9007/ses-1/func/sub-9007_ses-1_task-sleepiness,sub-9007/ses-1/func/sub-9007_ses-1_task-sleepiness,sub-9007/ses-1/func/sub-9007_ses-1_task-sleepiness,sub-9007/ses-1/func/sub-9007_ses-1_task-sleepiness
396,9007,2,arrows,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-arrows,sub-9007/ses-2/func/sub-9007_ses-2_task-arrows,sub-9007/ses-2/func/sub-9007_ses-2_task-arrows,sub-9007/ses-2/func/sub-9007_ses-2_task-arrows
393,9007,2,faces,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-faces,sub-9007/ses-2/func/sub-9007_ses-2_task-faces,sub-9007/ses-2/func/sub-9007_ses-2_task-faces,sub-9007/ses-2/func/sub-9007_ses-2_task-faces
392,9007,2,hands,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-hands,sub-9007/ses-2/func/sub-9007_ses-2_task-hands,sub-9007/ses-2/func/sub-9007_ses-2_task-hands,sub-9007/ses-2/func/sub-9007_ses-2_task-hands
394,9007,2,rest,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-rest,sub-9007/ses-2/func/sub-9007_ses-2_task-rest,sub-9007/ses-2/func/sub-9007_ses-2_task-rest,sub-9007/ses-2/func/sub-9007_ses-2_task-rest
395,9007,2,sleepiness,TRUE,sub-9007/ses-2/func/sub-9007_ses-2_task-sleepiness,sub-9007/ses-2/func/sub-9007_ses-2_task-sleepiness,sub-9007/ses-2/func/sub-9007_ses-2_task-sleepiness,sub-9007/ses-2/func/sub-9007_ses-2_task-sleepiness
619,9008,1,arrows,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-arrows,sub-9008/ses-1/func/sub-9008_ses-1_task-arrows,sub-9008/ses-1/func/sub-9008_ses-1_task-arrows,sub-9008/ses-1/func/sub-9008_ses-1_task-arrows
618,9008,1,faces,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-faces,sub-9008/ses-1/func/sub-9008_ses-1_task-faces,sub-9008/ses-1/func/sub-9008_ses-1_task-faces,sub-9008/ses-1/func/sub-9008_ses-1_task-faces
621,9008,1,hands,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-hands,sub-9008/ses-1/func/sub-9008_ses-1_task-hands,sub-9008/ses-1/func/sub-9008_ses-1_task-hands,sub-9008/ses-1/func/sub-9008_ses-1_task-hands
620,9008,1,rest,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-rest,sub-9008/ses-1/func/sub-9008_ses-1_task-rest,sub-9008/ses-1/func/sub-9008_ses-1_task-rest,sub-9008/ses-1/func/sub-9008_ses-1_task-rest
617,9008,1,sleepiness,TRUE,sub-9008/ses-1/func/sub-9008_ses-1_task-sleepiness,sub-9008/ses-1/func/sub-9008_ses-1_task-sleepiness,sub-9008/ses-1/func/sub-9008_ses-1_task-sleepiness,sub-9008/ses-1/func/sub-9008_ses-1_task-sleepiness
613,9008,2,arrows,TRUE,sub-9008/ses-2/func/sub-9008_ses-2_task-arrows,sub-9008/ses-2/func/sub-9008_ses-2_task-arrows,sub-9008/ses-2/func/sub-9008_ses-2_task-arrows,sub-9008/ses-2/func/sub-9008_ses-2_task-arrows
614,9008,2,faces,TRUE,sub-9008/ses-2/func/sub-9008_ses-2_task-faces,sub-9008/ses-2/func/sub-9008_ses-2_task-faces,sub-9008/ses-2/func/sub-9008_ses-2_task-faces,sub-9008/ses-2/func/sub-9008_ses-2_task-faces
616,9008,2,hands,TRUE,sub-9008/ses-2/func/sub-9008_ses-2_task-hands,sub-9008/ses-2/func/sub-9008_ses-2_task-hands,sub-9008/ses-2/func/sub-9008_ses-2_task-hands,sub-9008/ses-2/func/sub-9008_ses-2_task-hands
612,9008,2,rest,TRUE,sub-9008/ses-2/func/sub-9008_ses-2_task-rest,sub-9008/ses-2/func/sub-9008_ses-2_task-rest,sub-9008/ses-2/func/sub-9008_ses-2_task-rest,sub-9008/ses-2/func/sub-9008_ses-2_task-rest
615,9008,2,sleepiness,TRUE,sub-9008/ses-2/func/sub-9008_ses-2_task-sleepiness,sub-9008/ses-2/func/sub-9008_ses-2_task-sleepiness,sub-9008/ses-2/func/sub-9008_ses-2_task-sleepiness,sub-9008/ses-2/func/sub-9008_ses-2_task-sleepiness
579,9009,1,arrows,TRUE,sub-9009/ses-1/func/sub-9009_ses-1_task-arrows,sub-9009/ses-1/func/sub-9009_ses-1_task-arrows,sub-9009/ses-1/func/sub-9009_ses-1_task-arrows,sub-9009/ses-1/func/sub-9009_ses-1_task-arrows
580,9009,1,faces,TRUE,sub-9009/ses-1/func/sub-9009_ses-1_task-faces,sub-9009/ses-1/func/sub-9009_ses-1_task-faces,sub-9009/ses-1/func/sub-9009_ses-1_task-faces,sub-9009/ses-1/func/sub-9009_ses-1_task-faces
578,9009,1,hands,TRUE,sub-9009/ses-1/func/sub-9009_ses-1_task-hands,sub-9009/ses-1/func/sub-9009_ses-1_task-hands,sub-9009/ses-1/func/sub-9009_ses-1_task-hands,sub-9009/ses-1/func/sub-9009_ses-1_task-hands
581,9009,1,rest,TRUE,sub-9009/ses-1/func/sub-9009_ses-1_task-rest,sub-9009/ses-1/func/sub-9009_ses-1_task-rest,sub-9009/ses-1/func/sub-9009_ses-1_task-rest,sub-9009/ses-1/func/sub-9009_ses-1_task-rest
577,9009,1,sleepiness,TRUE,sub-9009/ses-1/func/sub-9009_ses-1_task-sleepiness,sub-9009/ses-1/func/sub-9009_ses-1_task-sleepiness,sub-9009/ses-1/func/sub-9009_ses-1_task-sleepiness,sub-9009/ses-1/func/sub-9009_ses-1_task-sleepiness
575,9009,2,arrows,TRUE,sub-9009/ses-2/func/sub-9009_ses-2_task-arrows,sub-9009/ses-2/func/sub-9009_ses-2_task-arrows,sub-9009/ses-2/func/sub-9009_ses-2_task-arrows,sub-9009/ses-2/func/sub-9009_ses-2_task-arrows
572,9009,2,faces,TRUE,sub-9009/ses-2/func/sub-9009_ses-2_task-faces,sub-9009/ses-2/func/sub-9009_ses-2_task-faces,sub-9009/ses-2/func/sub-9009_ses-2_task-faces,sub-9009/ses-2/func/sub-9009_ses-2_task-faces
576,9009,2,hands,TRUE,sub-9009/ses-2/func/sub-9009_ses-2_task-hands,sub-9009/ses-2/func/sub-9009_ses-2_task-hands,sub-9009/ses-2/func/sub-9009_ses-2_task-hands,sub-9009/ses-2/func/sub-9009_ses-2_task-hands
573,9009,2,rest,TRUE,sub-9009/ses-2/func/sub-9009_ses-2_task-rest,sub-9009/ses-2/func/sub-9009_ses-2_task-rest,sub-9009/ses-2/func/sub-9009_ses-2_task-rest,sub-9009/ses-2/func/sub-9009_ses-2_task-rest
574,9009,2,sleepiness,TRUE,sub-9009/ses-2/func/sub-9009_ses-2_task-sleepiness,sub-9009/ses-2/func/sub-9009_ses-2_task-sleepiness,sub-9009/ses-2/func/sub-9009_ses-2_task-sleepiness,sub-9009/ses-2/func/sub-9009_ses-2_task-sleepiness
521,9011,1,arrows,TRUE,sub-9011/ses-1/func/sub-9011_ses-1_task-arrows,sub-9011/ses-1/func/sub-9011_ses-1_task-arrows,sub-9011/ses-1/func/sub-9011_ses-1_task-arrows,sub-9011/ses-1/func/sub-9011_ses-1_task-arrows
519,9011,1,faces,TRUE,sub-9011/ses-1/func/sub-9011_ses-1_task-faces,sub-9011/ses-1/func/sub-9011_ses-1_task-faces,sub-9011/ses-1/func/sub-9011_ses-1_task-faces,sub-9011/ses-1/func/sub-9011_ses-1_task-faces
518,9011,1,hands,TRUE,sub-9011/ses-1/func/sub-9011_ses-1_task-hands,sub-9011/ses-1/func/sub-9011_ses-1_task-hands,sub-9011/ses-1/func/sub-9011_ses-1_task-hands,sub-9011/ses-1/func/sub-9011_ses-1_task-hands
520,9011,1,rest,TRUE,sub-9011/ses-1/func/sub-9011_ses-1_task-rest,sub-9011/ses-1/func/sub-9011_ses-1_task-rest,sub-9011/ses-1/func/sub-9011_ses-1_task-rest,sub-9011/ses-1/func/sub-9011_ses-1_task-rest
517,9011,1,sleepiness,TRUE,sub-9011/ses-1/func/sub-9011_ses-1_task-sleepiness,sub-9011/ses-1/func/sub-9011_ses-1_task-sleepiness,sub-9011/ses-1/func/sub-9011_ses-1_task-sleepiness,sub-9011/ses-1/func/sub-9011_ses-1_task-sleepiness
516,9011,2,arrows,TRUE,sub-9011/ses-2/func/sub-9011_ses-2_task-arrows,sub-9011/ses-2/func/sub-9011_ses-2_task-arrows,sub-9011/ses-2/func/sub-9011_ses-2_task-arrows,sub-9011/ses-2/func/sub-9011_ses-2_task-arrows
514,9011,2,faces,TRUE,sub-9011/ses-2/func/sub-9011_ses-2_task-faces,sub-9011/ses-2/func/sub-9011_ses-2_task-faces,sub-9011/ses-2/func/sub-9011_ses-2_task-faces,sub-9011/ses-2/func/sub-9011_ses-2_task-faces
513,9011,2,hands,TRUE,sub-9011/ses-2/func/sub-9011_ses-2_task-hands,sub-9011/ses-2/func/sub-9011_ses-2_task-hands,sub-9011/ses-2/func/sub-9011_ses-2_task-hands,sub-9011/ses-2/func/sub-9011_ses-2_task-hands
512,9011,2,rest,TRUE,sub-9011/ses-2/func/sub-9011_ses-2_task-rest,sub-9011/ses-2/func/sub-9011_ses-2_task-rest,sub-9011/ses-2/func/sub-9011_ses-2_task-rest,sub-9011/ses-2/func/sub-9011_ses-2_task-rest
515,9011,2,sleepiness,TRUE,sub-9011/ses-2/func/sub-9011_ses-2_task-sleepiness,sub-9011/ses-2/func/sub-9011_ses-2_task-sleepiness,sub-9011/ses-2/func/sub-9011_ses-2_task-sleepiness,sub-9011/ses-2/func/sub-9011_ses-2_task-sleepiness
527,9012,1,arrows,TRUE,sub-9012/ses-1/func/sub-9012_ses-1_task-arrows,sub-9012/ses-1/func/sub-9012_ses-1_task-arrows,sub-9012/ses-1/func/sub-9012_ses-1_task-arrows,sub-9012/ses-1/func/sub-9012_ses-1_task-arrows
529,9012,1,faces,TRUE,sub-9012/ses-1/func/sub-9012_ses-1_task-faces,sub-9012/ses-1/func/sub-9012_ses-1_task-faces,sub-9012/ses-1/func/sub-9012_ses-1_task-faces,sub-9012/ses-1/func/sub-9012_ses-1_task-faces
530,9012,1,hands,TRUE,sub-9012/ses-1/func/sub-9012_ses-1_task-hands,sub-9012/ses-1/func/sub-9012_ses-1_task-hands,sub-9012/ses-1/func/sub-9012_ses-1_task-hands,sub-9012/ses-1/func/sub-9012_ses-1_task-hands
531,9012,1,rest,TRUE,sub-9012/ses-1/func/sub-9012_ses-1_task-rest,sub-9012/ses-1/func/sub-9012_ses-1_task-rest,sub-9012/ses-1/func/sub-9012_ses-1_task-rest,sub-9012/ses-1/func/sub-9012_ses-1_task-rest
528,9012,1,sleepiness,TRUE,sub-9012/ses-1/func/sub-9012_ses-1_task-sleepiness,sub-9012/ses-1/func/sub-9012_ses-1_task-sleepiness,sub-9012/ses-1/func/sub-9012_ses-1_task-sleepiness,sub-9012/ses-1/func/sub-9012_ses-1_task-sleepiness
525,9012,2,arrows,TRUE,sub-9012/ses-2/func/sub-9012_ses-2_task-arrows,sub-9012/ses-2/func/sub-9012_ses-2_task-arrows,sub-9012/ses-2/func/sub-9012_ses-2_task-arrows,sub-9012/ses-2/func/sub-9012_ses-2_task-arrows
522,9012,2,faces,TRUE,sub-9012/ses-2/func/sub-9012_ses-2_task-faces,sub-9012/ses-2/func/sub-9012_ses-2_task-faces,sub-9012/ses-2/func/sub-9012_ses-2_task-faces,sub-9012/ses-2/func/sub-9012_ses-2_task-faces
526,9012,2,hands,TRUE,sub-9012/ses-2/func/sub-9012_ses-2_task-hands,sub-9012/ses-2/func/sub-9012_ses-2_task-hands,sub-9012/ses-2/func/sub-9012_ses-2_task-hands,sub-9012/ses-2/func/sub-9012_ses-2_task-hands
524,9012,2,rest,TRUE,sub-9012/ses-2/func/sub-9012_ses-2_task-rest,sub-9012/ses-2/func/sub-9012_ses-2_task-rest,sub-9012/ses-2/func/sub-9012_ses-2_task-rest,sub-9012/ses-2/func/sub-9012_ses-2_task-rest
523,9012,2,sleepiness,TRUE,sub-9012/ses-2/func/sub-9012_ses-2_task-sleepiness,sub-9012/ses-2/func/sub-9012_ses-2_task-sleepiness,sub-9012/ses-2/func/sub-9012_ses-2_task-sleepiness,sub-9012/ses-2/func/sub-9012_ses-2_task-sleepiness
94,9013,1,arrows,TRUE,sub-9013/ses-1/func/sub-9013_ses-1_task-arrows,sub-9013/ses-1/func/sub-9013_ses-1_task-arrows,sub-9013/ses-1/func/sub-9013_ses-1_task-arrows,sub-9013/ses-1/func/sub-9013_ses-1_task-arrows
92,9013,1,faces,TRUE,sub-9013/ses-1/func/sub-9013_ses-1_task-faces,sub-9013/ses-1/func/sub-9013_ses-1_task-faces,sub-9013/ses-1/func/sub-9013_ses-1_task-faces,sub-9013/ses-1/func/sub-9013_ses-1_task-faces
93,9013,1,hands,TRUE,sub-9013/ses-1/func/sub-9013_ses-1_task-hands,sub-9013/ses-1/func/sub-9013_ses-1_task-hands,sub-9013/ses-1/func/sub-9013_ses-1_task-hands,sub-9013/ses-1/func/sub-9013_ses-1_task-hands
